university,URLs,paths,read
Raiganj University,https://raiganjuniversity.ac.in/syllabus/,C:/Users/User/Desktop/uni selection/scraped_data/Raiganj University/url1.csv,NO
Raiganj University,http://raiganjuniversity.ac.in/wp-content/uploads/2017/07/Education-PG.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Raiganj University/url2.csv,NO
Raiganj University,http://raiganjuniversity.ac.in/wp-content/uploads/2017/07/Geography-PG.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Raiganj University/url3.csv,NO
Raiganj University,http://raiganjuniversity.ac.in/wp-content/uploads/2017/07/Zoology-PG.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Raiganj University/url4.csv,NO
Rani Rashmoni Green University,https://www.wbsche.ac.in/pdf/RaniRashmoni_Notification.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Rani Rashmoni Green University/url1.csv,YES
Rani Rashmoni Green University,https://wbhed.gov.in/page/university_campuses.php,C:/Users/User/Desktop/uni selection/scraped_data/Rani Rashmoni Green University/url2.csv,NO
Senate of Serampore College (University),http://www.senateofseramporecollege.edu.in/course/details/master-of-theology,C:/Users/User/Desktop/uni selection/scraped_data/Senate of Serampore College (University)/url1.csv,NO
Senate of Serampore College (University),https://www.senateofseramporecollege.edu.in/,C:/Users/User/Desktop/uni selection/scraped_data/Senate of Serampore College (University)/url2.csv,YES
Senate of Serampore College (University),https://www.senateofseramporecollege.edu.in/course/details/master-of-christian-studies,C:/Users/User/Desktop/uni selection/scraped_data/Senate of Serampore College (University)/url3.csv,YES
Senate of Serampore College (University),https://examstime.in/serampore-university-courses-and-syllabus/,C:/Users/User/Desktop/uni selection/scraped_data/Senate of Serampore College (University)/url4.csv,YES
Senate of Serampore College (University),https://examstime.in/serampore-university-courses-and-syllabus/#About-University,C:/Users/User/Desktop/uni selection/scraped_data/Senate of Serampore College (University)/url5.csv,YES
Senate of Serampore College (University),https://examstime.in/serampore-university-courses-and-syllabus/#Courses-Offered,C:/Users/User/Desktop/uni selection/scraped_data/Senate of Serampore College (University)/url6.csv,YES
Senate of Serampore College (University),https://examstime.in/serampore-university-courses-and-syllabus/#Courses-Duration,C:/Users/User/Desktop/uni selection/scraped_data/Senate of Serampore College (University)/url7.csv,NO
Senate of Serampore College (University),http://ctsn.edu.in/wp-content/uploads/2016/05/B.D.-Courses.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Senate of Serampore College (University)/url8.csv,NO
Sidho Kanho Birsha University,https://skbuonline.in/syllabus/,C:/Users/User/Desktop/uni selection/scraped_data/Sidho Kanho Birsha University/url1.csv,NO
